sample_id,ERBB2_copy_number,CEP17_copy_number,ERBB2_CEP17_ratio,ERBB2_minus_ploidy,Purity,Ploidy
CPCT02210076T,4,4,1.0,0.7927,0.73,3.2073
CPCT02470003T,2,2,1.0,-2.0147000000000004,0.23,4.0147
CPCT02010682T,2,3,0.6666666666666666,-0.3338999999999998,0.82,2.3339
CPCT02030242T,2,2,1.0,-1.4639000000000002,0.77,3.4639
CPCT02330104T,4,4,1.0,0.0617999999999998,0.26,3.9382
CPCT02040114T,3,4,0.75,0.0320999999999997,0.59,2.9679
CPCT02210037T,2,3,0.6666666666666666,0.0384999999999999,0.7,1.9615
DO52553,1,1,1.0,-0.5353000000000001,0.41,1.5353
CPCT02010433T,2,1,2.0,0.1084,0.37,1.8916
CPCT02010593T,2,2,1.0,0.2442,0.25,1.7558
DO52551,2,2,1.0,-0.7319,0.29,2.7319
TCGA-GM-A2DFT,3,2,1.5,-0.7837000000000001,0.21,3.7837
DO218377,2,2,1.0,-1.9422,0.29,3.9422
CPCT02230095T,4,5,0.8,0.2543000000000002,0.78,3.7457
CPCT02210053T,2,2,1.0,-0.3752,0.8,2.3752
CPCT02330035T,34,7,4.857142857142857,30.6908,0.64,3.3092
CPCT02230044T,3,3,1.0,0.8121999999999998,0.64,2.1878
CPCT02011058T,5,8,0.625,1.6488999999999998,0.69,3.3511
DO1012,3,4,0.75,-0.2595999999999998,0.7,3.2596
CPCT02150014T,2,2,1.0,-0.2078000000000002,0.65,2.2078
CPCT02150046T,16,2,8.0,13.9011,0.78,2.0989
WIDE01010140T,3,3,1.0,-0.4685000000000002,0.81,3.4685
TCGA-A8-A09XT,2,2,1.0,-1.4943,0.31,3.4943
CPCT02120073T,2,5,0.4,-1.412,0.33,3.412
WIDE01010478T,3,4,0.75,-0.5493999999999999,0.29,3.5494
CPCT02300032T,9,2,4.5,5.9914000000000005,0.7,3.0086
CPCT02060179T,4,4,1.0,0.0409000000000001,0.59,3.9591
CPCT02150018T,9,2,4.5,5.4171,0.59,3.5829
CPCT02220060T,2,3,0.6666666666666666,-1.6322,0.65,3.6322
CPCT02300043T,2,2,1.0,-0.9789,0.38,2.9789
TCGA-A2-A3XXT,5,5,1.0,0.1756000000000002,0.42,4.8244
CPCT02080056T,38,5,7.6,32.6482,0.68,5.3518
CPCT02020186T,6,3,2.0,2.1807,0.57,3.8193
